epoch,train_loss,val_loss,lr,seconds,mae_dte_l,mae_dte_r,mae_dte_t,mae_dte_b
1,0.00198,0.00020,2.00e-04,1007.1,2.2743,2.9652,2.9929,1.7519
2,0.00047,0.00025,1.94e-04,990.5,4.0810,4.3535,1.5727,1.8946
3,0.00038,0.00034,1.77e-04,993.5,3.7367,5.6042,4.0257,4.7923
4,0.00031,0.00015,1.50e-04,993.4,2.1525,2.3051,1.4257,1.8343
5,0.00027,0.00013,1.17e-04,994.4,2.0669,2.1794,1.1768,1.3945
6,0.00024,0.00012,8.26e-05,994.5,1.9791,2.0712,1.2245,1.3531
7,0.00021,0.00012,5.00e-05,995.2,1.7992,1.9521,1.0852,1.2506
8,0.00019,0.00011,2.34e-05,994.4,1.7946,1.8624,1.0827,1.2148
9,0.00018,0.00010,6.03e-06,995.5,1.7693,1.8570,1.0772,1.1995
10,0.00017,0.00010,8.00e-10,994.6,1.7487,1.8689,1.0900,1.2091
