epoch,train_loss,val_loss,lr,seconds,auroc_wear,precision_wear,recall_wear,npos_wear,mae_deduction,mae_angle
1,0.20900,0.21197,1.87e-04,553.4,0.9018,0.6314,0.8217,5390,112.6002,2.6930
2,0.20006,0.19374,1.97e-04,531.1,0.9141,0.7153,0.6820,5390,110.3121,2.8031
3,0.19204,0.19232,1.87e-04,536.2,0.9144,0.7083,0.7067,5390,109.1202,2.4426
4,0.18669,0.19515,1.69e-04,538.3,0.9178,0.6487,0.8289,5390,107.6102,2.5563
5,0.18097,0.18695,1.45e-04,538.8,0.9194,0.6979,0.7531,5390,105.0236,2.4122
6,0.17214,0.18837,1.17e-04,538.8,0.9192,0.6876,0.7625,5390,105.1824,2.6273
7,0.15643,0.19499,8.84e-05,539.2,0.9174,0.7053,0.7039,5390,105.2776,2.4168
8,0.13049,0.21325,6.04e-05,538.4,0.9101,0.6945,0.6896,5390,106.2185,2.4284
9,0.09657,0.27384,3.57e-05,537.3,0.8991,0.6888,0.6443,5390,108.4545,2.5094
10,0.06204,0.36660,1.64e-05,534.5,0.8866,0.6902,0.6212,5390,111.9333,2.5531
11,0.03660,0.46316,4.20e-06,530.3,0.8641,0.6747,0.6473,5390,113.2322,2.5262
12,0.02501,0.52941,8.01e-10,530.0,0.8490,0.6727,0.6462,5390,114.1967,2.5286
