epoch,train_loss,val_loss,lr,seconds,auroc_wear,precision_wear,recall_wear,npos_wear,mae_deduction
1,0.24662,0.27680,1.87e-04,734.0,0.7892,nan,0.0000,2110,223.6892
2,0.23746,0.29061,1.97e-04,674.4,0.7936,nan,0.0000,2110,223.0234
3,0.22093,0.21419,1.87e-04,676.0,0.8661,nan,0.0000,2110,183.2937
4,0.21158,0.21548,1.69e-04,674.6,0.8696,0.5676,0.1194,2110,174.2005
5,0.20713,0.21121,1.45e-04,673.0,0.8779,0.5822,0.2166,2110,174.4937
6,0.20255,0.20295,1.17e-04,681.1,0.8866,0.5512,0.3166,2110,169.5672
7,0.19897,0.19960,8.84e-05,678.2,0.8912,0.5872,0.2474,2110,166.0366
8,0.19515,0.19851,6.04e-05,680.9,0.8937,0.6359,0.1630,2110,164.3638
9,0.19124,0.19906,3.57e-05,682.1,0.8938,0.6238,0.2232,2110,161.5140
10,0.18748,0.19654,1.64e-05,681.6,0.8947,0.6036,0.2512,2110,161.2888
11,0.18395,0.19775,4.20e-06,683.2,0.8956,0.6018,0.2564,2110,160.7227
12,0.18230,0.19811,8.00e-10,684.3,0.8955,0.5945,0.2848,2110,160.9189
