epoch,train_loss,val_loss,lr,seconds,auroc_wear,precision_wear,recall_wear,npos_wear,mae_deduction
1,0.24848,0.26806,1.87e-04,711.0,0.7648,nan,0.0000,2110,220.1423
2,0.25379,0.24022,1.97e-04,678.1,0.8256,nan,0.0000,2110,200.8409
3,0.22904,0.22154,1.87e-04,679.4,0.8558,nan,0.0000,2110,196.7948
4,0.22052,0.21533,1.69e-04,681.0,0.8644,0.5558,0.1180,2110,175.6880
5,0.21478,0.21998,1.45e-04,683.2,0.8678,0.5765,0.1303,2110,180.8560
6,0.21117,0.20627,1.17e-04,685.5,0.8803,0.5778,0.1972,2110,174.6865
7,0.20753,0.20259,8.84e-05,691.1,0.8857,0.6000,0.2076,2110,168.1339
8,0.20504,0.20387,6.04e-05,690.0,0.8840,0.6731,0.1161,2110,166.1781
9,0.20199,0.20121,3.57e-05,691.8,0.8893,0.6135,0.2370,2110,164.1448
10,0.19878,0.19821,1.64e-05,692.2,0.8931,0.5955,0.2645,2110,162.5257
11,0.19696,0.19786,4.20e-06,692.8,0.8936,0.6026,0.2379,2110,161.9727
12,0.19591,0.19799,8.00e-10,692.4,0.8938,0.5988,0.2801,2110,162.2306
