epoch,train_loss,val_loss_proxy,lr,seconds,map50,precision,recall,ap50_CREASE,ap50_DENT,ap50_PIT,ap50_PRINT_DEFECT,ap50_SCRATCH,ap50_STAIN,ap50_TEAR
1,0.17413,0.83811,9.89e-03,1618.3,0.1619,0.2515,0.2749,0.2644,nan,nan,nan,0.0594,nan,nan
2,0.07906,0.78384,9.43e-03,842.7,0.2162,0.2692,0.3487,0.3473,nan,nan,nan,0.0850,nan,nan
3,0.07309,0.76060,8.67e-03,846.7,0.2394,0.2873,0.3580,0.3849,nan,nan,nan,0.0939,nan,nan
4,0.07015,0.73841,7.65e-03,847.0,0.2616,0.2698,0.4119,0.4404,nan,nan,nan,0.0828,nan,nan
5,0.06750,0.75815,6.44e-03,848.6,0.2419,0.2478,0.3970,0.4173,nan,nan,nan,0.0664,nan,nan
6,0.06445,0.72811,5.13e-03,844.8,0.2719,0.2596,0.4673,0.4458,nan,nan,nan,0.0980,nan,nan
7,0.06346,0.71923,3.81e-03,845.8,0.2808,0.2547,0.4645,0.4534,nan,nan,nan,0.1082,nan,nan
8,0.06168,0.71665,2.58e-03,845.0,0.2833,0.2644,0.4588,0.4559,nan,nan,nan,0.1108,nan,nan
9,0.05972,0.71645,1.51e-03,846.2,0.2836,0.2475,0.4730,0.4594,nan,nan,nan,0.1077,nan,nan
10,0.05812,0.72409,6.92e-04,846.0,0.2759,0.2688,0.4602,0.4603,nan,nan,nan,0.0915,nan,nan
11,0.05750,0.71361,1.76e-04,846.5,0.2864,0.2600,0.4631,0.4691,nan,nan,nan,0.1037,nan,nan
12,0.05605,0.70912,2.69e-11,846.8,0.2909,0.2573,0.4780,0.4698,nan,nan,nan,0.1119,nan,nan
